шаг                      '           01АN
мрак                     '           01АN
итак                     -'          01А
пустяк                   -'          01АN
костяк                   -'          01АN
законный брак            -'-'        01АN
контракт                 -'          01АN
божий дар                --'         02АN
удар                     -'          02АN
катар                    -'          02АN
нектар                   -'          02АN
познал                   -'          03АVП
достал                   -'          03АVП
читал                    -'          03АVП
писал                    -'          03АVП
принимал                 --'         03АVП
завершал                 --'         03АVП
постигал                 --'         03АVП
скандал                  -'          03АN
опять                    -'          04А?
шел гулять               --'         04АVП
любил страдать           -'-'        04АVП
крикнув "Мать!"          '-'         04А?V
плач                     '           05АN
калач                    -'          05АN
вскачь                   '           05А?
не спеша                 --'         06А?V
чуть дыша                --'         06А?V
ни шиша                  --'         06А?V
шар                      '           06АN
знает                    '-          11АVН
с краю                   '-          11А?
считает                  -'-         11АVН
читает                   -'-         11АVН
в сарае                  -'-         11А?
принимает                --'-        11АVН
затмевает                --'-        11АVН
завершает                --'-        11АVН
разрешает                --'-        11АVН
постигает                --'-        11АVН
простирает               --'-        11АVН
убирает                  --'-        11АVН
умоляет                  --'-        11АVН
странный                 '-          12АA
рано                     '-          12А?
туманный                 -'-         12АA
гуманный                 -'-         12АA
негуманный               --'-        12АA
чеканный                 -'-         12АA
желанный                 -'-         12АA
несказанный              --'-        12АA
постоянный               --'-        12АA
долгожданный             --'-        12АA
покаянный                --'-        12АA
странно                  '-          12А?
без изъяна               --'-        12АA
без обмана               --'-        12АA
первозванный             --'-        12АA
чаще                     '-          13А?
в чаще                   '-          13АA
светящий                 -'-         13АAV
манящий                  -'-         13АAV
настоящий                --'-        13АA
в даль летящий           '-'-        13АA
жаждет                   '-          14АVН
страждет                 '-          14АVН
каждый                   '-          14АA
однажды                  -'-         14А?
дважды                   '-          14А?
бальный                  '-          15АA
глобальный               -'-         15АA
опальный                 -'-         15АA
печальный                -'-         15АA
хрустальный              -'-         15АA
зеркальный               -'-         15АA
астральный               -'-         15АA
первоначальный           ---'-       15АA
яркий                    '-          16АA
жаркий                   '-          16АA
в парке                  '-          16АA
без помарки              --'-        16А?
прохладный               -'-         17АA
отрадный                 -'-         17АA
громадный                -'-         17АA
накладный                -'-         17АA
шоколадный               --'-        17АA
прозрачный               -'-         19АA
удачный                  -'-         19АA
мрачный                  '-          19АA
злачный                  '-          19АA
смачный                  '-          19АA
жвачный                  '-          19АA
заставил                 -'-        110АVП
направил                 -'-        110АVП
без правил               -'-        110А?
так как                  '-         111А
без страсти              -'-        112АA
рвет на части            '-'-       112АVН
рыжей масти              --'-       112АA
сказавши "здрасьте"      -'-'-      112А?V
кризис власти            '-'-       112АN
паспорт                  '-         112АVП
серпастый                -'-        112АA
молоткастый              --'-       112АA
мордастый                -'-        112АA
правый                   '-         113АA
чернявый                 -'-        113АA
золотоглавый             ---'-      113АA
покрытый славой          -'-'-      113АA
всей оравой              --'-       113А?
для забавы               --'-       113А?
пьет отраву              --'-       113АVН
иначе                    -'-        114А?
к удаче                  -'-        114А?
тем паче                 -'-        114А?
на даче                  -'-        114А?
скачет                   '-         114АVН
плачет                   '-         114АVН
на башне                 -'-        115А?
страшный                 '-         115АA
вчерашний                -'-        115АA
домашний                 -'-        115АA
строит шашни             '-'-       115АVН
приятный                 -'-        116АA
невнятный                -'-        116АA
занятный                 -'-        116АA
необъятный               --'-       116АA
отправился               -'--        21АVП
позабавился              --'--       21АVП
понравился               -'--        21АVП
гуляющий                 -'--        22АAV
страдающий               -'--        22АAV
завершающий              --'--       22АAV
постигающий              --'--       22АAV
повергающий              --'--       22АAV
ко сну располагающий     -'---'--    22АAV
сигающий                 -'--        22АAV
лягающий                 -'--        22АAV
тающий                   '--         22АAV
жаждущий                 '--         23АA
страждущий               '--         23АA
на кладбище              -'--        23А?
радуясь                  '--         24А?V
падая                    '--         24А?V
отважился                -'--        26АVП
мне                      '           01Е
вполне                   -'          01Е?
на дне                   -'          01ЕA
в огне                   -'          01ЕA
предмет                  -'          02ЕN
сонет                    -'          02ЕN
завет                    -'          02ЕN
привет                   -'          02ЕN
смех                     '           03ЕN
успех                    -'          03ЕN
грех                     '           03ЕN
хуже всех                --'         03ЕA
исчез                    -'          04ЕVП
треск                    '           04ЕN
тихий всплеск            '-'         04ЕN
блеск                    '           04ЕN
совсем                   -'          05Е?
скорей                   -'          06Е?
день                     '           07ЕN
