DOES                     '           01ÄVç
COUNTS                   '           02ÄVç
MOUNTS                   '           02ÄVç
ONCE                     '           03Ä?
BRIGHT                   '           04ÄA
WHITE                    '           04ÄA
LIGHT                    '           04ÄN
NIGHT                    '           04ÄN
RIGHT                    '           04ÄA
DRUNKED                  '           05ÄA?
UNDRUNKED                -'          05ÄA?
LAUGH                    '           06ÄN
NICE                     '           07ÄA
TWICE                    '           07Ä?
PRICE                    '           07ÄN
DEVICE                   -'          07ÄN
ARISE                    -'          08ÄV
SIZE                     '           08ÄN
ONE                      '           09Ä
SILENT                   '-          11ÄN
STUDIES                  '-          12ÄVç
STUDIED                  '-          13ÄVè
COUNTED                  '-          14ÄVè
LIGHTING                 '-          15ÄA?
ATOM                     '-          16ÄN
HONEY                    '-          17ÄN
MONEY                    '-          17ÄN
SUNNY                    '-          17ÄA
FUNNY                    '-          17ÄA
MONKEY                   '-          18ÄN
YANKEE                   '-          18ÄN
WONDERFUL                '--         21ÄA
THEN                     '           01Ö
WHEN                     '           01Ö
PLAN                     '           01ÖN
MAN                      '           01ÖN
AGAIN                    -'          01Ö?
STRANGE                  '           02ÖA
BRAVE                    '           03ÖA
GRAVE                    '           03ÖN
LAST                     '           04ÖA
MUST                     '           04ÖVç
AND                      '           05Ö 
END                      '           05ÖN
HEAD                     '           06ÖN
BREAD                    '           06ÖN
SNAKE                    '           07ÖN
LAKE                     '           07ÖN
MISTAKE                  -'          07ÖN
O'KEY                    -'          08Ö
MAIL                     '           09ÖN
TALE                     '           09ÖN
SALE                     '           09ÖN
PALE                     '           09ÖA
PAIL                     '           09ÖN
TAIL                     '           09ÖN
COCKTAIL                 -'          09ÖN
YES                      '          010Ö
CHESS                    '          010ÖN
THE                      -           10Ö
CELLAR                   '-          11ÖN
EVERY                    '-          11ÖA
PALACE                   '-          12ÖN
UNCHANGING               -'-         13ÖA?
UNDERSTANDING            --'-        14ÖA?
RADIUS                   '-          15ÖN
VANISHED                 '-          16ÖVè
ATTIC                    '-          17ÖN
AUTOMATIC                --'-        17ÖA
STATIC                   '-          17ÖA
TERRARIUM                -'--        21ÖN
AQUARIUM                 -'--        21ÖN
PERMANENT                '--         22ÖN
HIT                      '           01àN
DID                      '           01àVç
MEAT                     '           01àN 
STREET                   '           01àN
RECEIVES                 -'          02àVç
GIVES                    '           02àVç
RECEIVED                 -'          03àVè
MEANS                    '           04àVç
JEANS                    '           04àN 
REAL                     '           06àA
THING                    '           07àN
INK                      '           07àN
PINK                     '           07àA
SINGS                    '           07àVç
SUBMARINE                --'         07àN
ME                       '           08à
THIS                     '           09àA
MISS                     '           09àN
PLEASE                   '           09à?
WISHES                   '-          10àVç
FINISHED                 '-          12àVè
RECEIVING                -'-         13àA?
COMPLETING               -'-         14àA?
MISTER                   '-          15àN
MINISTER                 -'-         15àN
SISTER                   '-          15àN
FINISHES                 '--         20àVç
POSSIBILITY              --'--       21àN
PROBABILITY              --'--       21àN
SO                       '           01é?
NO                       '           01é
WHOLE                    '           01éA
HOLE                     '           01éN
ROLE                     '           01éN
BOX                      '           02éN
FOX                      '           02éN
WANTS                    '           03éVç
BECAUSE                  -'          04é
OF COURSE                -'          04é
WAS                      '           04éVè
HORCE                    '           04éN 
WELL-KNOWN               -'          05éA?
UNKNOWN                  -'          05éA?
STONE                    '           05éN
SPAWN                    '           05éN
CHALK                    '           06éN
O'CLOCK                  -'          06é 
BOY                      '           07éN
ONLY                     '-          11é?
FOGGY                    '-          12éA
WORRY                    '-          13éA
SORRY                    '-          13é 
FOREST                   '-          13éN
WANTED                   '-          14éVè
WALKING                  '-          15éA?
TALKING                  '-          15éA?
LOCAL                    '-          15éA
FOCAL                    '-          15éA
NO SUCH                  '-          16é
HONEST                   '-          17éA
MODERN                   '-          18éA
SLOWLY                   '-          19é?
CONSTANTLY               '--         21é?
DOCUMENT                 '--         22éN
POPULAR                  '--         23éA
NEW                      '           01ìA
YOU                      '           01ìN
VULGAR                   '-          11ìA
UNUSING                  -'-         12ìA?
COMPUTER                 -'-         13ìN
BEAUTIFUL                '--         21ìA
